Place,County,Population,Population Density,Per capita income,Median household income,Median family income
Banning,Riverside,30281,1310.9,"$20,246 ","$39,556 ","$46,434 "
Barstow,San Bernardino,23110,559,"$18,863 ","$40,648 ","$48,977 "
Bass Lake,Madera,570,296,"$25,752 ","$36,250 ","$58,438 "
Bay Point,Contra Costa,21586,3280.5,"$17,385 ","$41,749 ","$42,983 "
Bayview,Contra Costa,2025,6639.3,"$29,636 ","$82,431 ","$95,150 "
Bayview,Humboldt,2408,3289.6,"$18,175 ","$26,987 ","$35,987 "
Beale AFB,Yuba,1342,132.9,"$16,375 ","$42,904 ","$42,684 "
Bear Creek,Merced,197,3456.1,"$11,585 ","$16,719 ","$32,800 "
Bear Valley,Alpine,43,8.3,"$21,109 ","$75,179 ",[7]
Bear Valley,Mariposa,201,27.8,"$10,781 ","$16,042 ","$11,597 "
Bear Valley Springs,Kern,5058,121.9,"$38,716 ","$82,761 ","$97,212 "
Beaumont,Riverside,39620,1279.4,"$26,627 ","$66,775 ","$75,809 "
Beckwourth,Plumas,290,24.8,"$43,100 ","$52,609 ","$81,351 "
Belden,Plumas,46,75.4,[7],[7],[7]
Bell,Los Angeles,35896,14352.7,"$12,031 ","$36,496 ","$36,390 "
Bella Vista,Shasta,2717,122.4,"$22,187 ","$52,041 ","$57,586 "
Bell Canyon,Ventura,2289,632,"$81,271 ","$208,508 ","$215,441 "
Bellflower,Los Angeles,77521,12671,"$20,213 ","$49,360 ","$53,023 "
Bell Gardens,Los Angeles,42712,17369.7,"$11,460 ","$37,103 ","$36,739 "
Belmont,San Mateo,26503,5730.4,"$56,302 ","$106,287 ","$142,446 "
Belvedere,Marin,2036,3922.9,"$119,798 ","$166,250 ","$181,833 "
Benbow,Humboldt,314,64.3,"$30,828 ","$47,308 ","$46,779 "
Bend,Tehama,641,219.7,"$33,164 ","$74,375 ","$86,964 "
Benicia,Solano,27450,2123.1,"$43,640 ","$89,094 ","$113,235 "
Ben Lomond,Santa Cruz,6485,775.7,"$36,066 ","$70,281 ","$88,986 "
Benton,Mono,178,6.2,"$19,566 ","$26,000 ","$43,468 "
Berkeley,Alameda,115688,11053.7,"$42,406 ","$65,283 ","$114,720 "
Bermuda Dunes,Riverside,7719,2613.1,"$35,103 ","$60,494 ","$61,940 "
Berry Creek,Butte,1292,22.6,"$22,781 ","$41,287 ","$52,188 "
Bertsch-Oceanview,Del Norte,2568,468,"$17,953 ","$35,678 ","$48,269 "
Bethel Island,Contra Costa,2158,386.5,"$30,388 ","$36,845 ","$72,536 "
Beverly Hills,Los Angeles,34536,6050.5,"$81,788 ","$87,366 ","$123,636 "
Bieber,Lassen,127,77.6,"$17,413 ","$42,083 ","$52,083 "
Big Bear City,San Bernardino,12563,393.2,"$23,024 ","$43,404 ","$50,346 "
Big Bear Lake,San Bernardino,5104,804.2,"$30,115 ","$41,058 ","$47,368 "
Big Bend,Shasta,87,15.2,"$17,511 ","$23,750 ","$41,750 "
Big Creek,Fresno,201,437,"$36,270 ","$82,917 ","$101,250 "
Biggs,Butte,2010,3160.4,"$16,624 ","$40,847 ","$42,273 "
Big Lagoon,Humboldt,142,237.1,"$27,510 ","$60,179 ","$92,639 "
Big Pine,Inyo,1612,545.7,"$26,038 ","$49,750 ","$61,563 "
Big River,San Bernardino,1061,98,"$23,785 ","$23,589 ","$34,750 "
Biola,Fresno,1017,1571.9,"$8,090 ","$26,750 ","$32,333 "
Bishop,Inyo,3851,2066,"$23,661 ","$30,395 ","$65,142 "
Blackhawk,Contra Costa,9297,1602.7,"$85,049 ","$167,875 ","$195,833 "
Blacklake,San Luis Obispo,942,901.4,"$48,044 ","$71,471 ","$81,917 "
Black Point-Green Point,Marin,1111,393,"$71,770 ","$117,431 ","$130,893 "
Blairsden,Plumas,35,64.6,"$41,300 ","$11,250 ",[7]
Bloomfield,Sonoma,373,45.8,"$40,524 ","$77,955 ","$122,863 "
Bloomington,San Bernardino,25228,4213.8,"$14,012 ","$48,985 ","$48,091 "
Blue Lake,Humboldt,1258,2121.4,"$25,209 ","$45,750 ","$58,125 "
Bluewater,San Bernardino,174,195.1,"$26,989 ","$40,417 ","$42,250 "
Blythe,Riverside,20101,767.5,"$15,835 ","$46,393 ","$48,400 "
Bodega,Sonoma,156,53.8,"$53,951 ","$29,688 ",[7]
Bodega Bay,Sonoma,603,72.3,"$72,541 ","$86,000 ","$143,333 "
Bodfish,Kern,1961,246,"$16,580 ","$20,121 ","$21,861 "
Bolinas,Marin,1403,240.8,"$50,783 ","$74,310 ","$115,741 "
Bombay Beach,Imperial,171,181.7,"$22,526 ","$15,050 ","$11,875 "
Bonadelle Ranchos-Madera Ranchos,Madera,8503,730.6,"$29,845 ","$77,321 ","$81,735 "
Bonita,San Diego,13864,2763.4,"$34,407 ","$87,666 ","$99,860 "
Bonny Doon,Santa Cruz,2752,164.9,"$46,896 ","$88,221 ","$104,609 "
Bonsall,San Diego,4138,308.9,"$43,006 ","$69,399 ","$81,711 "
Boonville,Mendocino,1090,196.7,"$14,796 ","$35,938 ","$39,632 "
Bootjack,Mariposa,959,137,"$19,924 ","$41,683 ","$54,583 "
Boron,Kern,2241,162.4,"$15,269 ","$31,333 ","$31,534 "
Boronda,Monterey,1278,2323.6,"$13,117 ","$42,333 ","$42,292 "
Borrego Springs,San Diego,2359,54.8,"$21,464 ","$36,583 ","$43,750 "
Bostonia,San Diego,16460,8519.7,"$19,252 ","$42,333 ","$47,347 "
Boulder Creek,Santa Cruz,4741,631.1,"$43,381 ","$79,392 ","$103,583 "
Boulevard,San Diego,434,111.1,"$16,235 ","$12,421 ","$72,943 "
Bowles,Fresno,182,477.7,"$18,409 ","$31,250 ","$90,833 "
Boyes Hot Springs,Sonoma,7664,7237,"$26,245 ","$54,788 ","$56,331 "
Bradbury,Los Angeles,845,431.8,"$76,472 ","$112,273 ","$116,667 "
Bradley,Monterey,127,1476.7,"$19,103 ","$53,333 ","$73,500 "
Brawley,Imperial,25478,3316.6,"$17,700 ","$41,718 ","$47,344 "
Brea,Orange,40443,3316.9,"$35,245 ","$81,857 ","$98,944 "
Brentwood,Contra Costa,54062,3640.3,"$33,357 ","$88,697 ","$100,925 "
Bret Harte,Stanislaus,4998,9103.8,"$9,379 ","$28,279 ","$31,389 "
Bridgeport,Mono,761,35,"$28,094 ","$39,118 ","$107,896 "
Brisbane,San Mateo,4421,1428,"$40,401 ","$80,233 ","$96,477 "
Broadmoor,San Mateo,4734,10496.7,"$34,328 ","$100,109 ","$110,160 "
Brookdale,Santa Cruz,2204,572.9,"$56,819 ","$84,451 ","$104,817 "
Brooktrails,Mendocino,3589,493.5,"$22,821 ","$48,097 ","$51,250 "
Buckhorn,Amador,2503,426.4,"$24,548 ","$49,583 ","$57,595 "
Buck Meadows,Mariposa,50,28.7,"$20,440 ",[7],[7]
Bucks Lake,Plumas,14,1.4,[7],[7],[7]
Buellton,Santa Barbara,4924,3112.5,"$29,597 ","$59,695 ","$84,267 "
Buena Park,Orange,82191,7809.9,"$24,525 ","$68,884 ","$72,878 "
Buena Vista,Amador,284,175.1,"$21,452 ","$58,419 ","$49,083 "
Burbank,Los Angeles,104484,6025.3,"$33,882 ","$66,111 ","$82,063 "
Burbank,Santa Clara,5869,14563.3,"$28,373 ","$64,592 ","$65,588 "
Burlingame,San Mateo,29618,6723.7,"$61,062 ","$90,890 ","$132,210 "
Burney,Shasta,3172,610.5,"$19,176 ","$38,214 ","$43,346 "
Burnt Ranch,Trinity,308,23,"$25,077 ","$55,500 ","$59,028 "
Butte Creek Canyon,Butte,805,39.3,"$47,737 ","$75,417 ","$81,875 "
Butte Meadows,Butte,34,15.9,[7],[7],[7]
Butte Valley,Butte,603,33,"$26,612 ","$52,734 ","$52,813 "
Buttonwillow,Kern,1371,197.9,"$13,690 ","$34,274 ","$32,647 "
Byron,Contra Costa,1305,201.1,"$29,962 ","$75,673 ","$60,250 "
Bystrom,Stanislaus,3805,5359.2,"$11,583 ","$25,543 ","$30,474 "
Cabazon,Riverside,3266,671.2,"$12,032 ","$40,144 ","$33,551 "
Calabasas,Los Angeles,23956,1747.8,"$60,703 ","$117,176 ","$136,724 "
Calexico,Imperial,39281,4550.6,"$12,960 ","$35,233 ","$40,218 "
California City,Kern,13243,65.1,"$22,908 ","$57,660 ","$61,581 "
California Hot Springs,Tulare,74,98.9,"$23,838 ","$41,250 ","$83,750 "
California Pines,Modoc,367,49.4,"$16,074 ","$41,518 ","$74,236 "
Calimesa,Riverside,8143,548.5,"$24,981 ","$42,392 ","$61,319 "
Calipatria,Imperial,7599,2044.9,"$10,352 ","$30,911 ","$32,135 "
Calistoga,Napa,5244,2018.5,"$33,280 ","$52,131 ","$83,889 "
Callender,San Luis Obispo,1537,672.4,"$29,647 ","$75,200 ","$77,936 "
Calpella,Mendocino,424,167.1,"$22,521 ","$44,000 ","$54,038 "
Calpine,Sierra,189,266.2,"$32,869 ","$25,938 ","$126,000 "
Calwa,Fresno,1330,2131.4,"$6,559 ","$18,625 ","$14,219 "
Camanche North Shore,Amador,947,406.1,"$33,000 ","$77,375 ","$83,276 "
Camanche Village,Amador,840,154.5,"$29,831 ","$86,176 ","$103,214 "
Camarillo,Ventura,65985,3378.3,"$39,689 ","$87,120 ","$102,201 "
Cambria,San Luis Obispo,6246,734.1,"$40,857 ","$62,948 ","$82,656 "
Cambrian Park,Santa Clara,3318,5567.1,"$46,468 ","$101,406 ","$112,500 "
Cameron Park,El Dorado,18831,1695.4,"$35,469 ","$74,690 ","$86,690 "
Camino,El Dorado,1833,814.7,"$35,973 ","$72,383 ","$81,477 "
Camino Tassajara,Contra Costa,1789,1404.2,"$64,980 ","$142,371 ","$155,948 "
Campbell,Santa Clara,40327,6948.1,"$44,769 ","$91,269 ","$103,539 "
Camp Nelson,Tulare,100,80.8,"$46,972 ","$84,107 ","$84,107 "
Campo,San Diego,3031,129.1,"$28,810 ","$59,294 ","$75,272 "
Camp Pendleton North,San Diego,6436,726.9,"$17,566 ","$37,075 ","$37,075 "
Camp Pendleton South,San Diego,12691,3243.3,"$15,779 ","$43,742 ","$43,568 "
Camptonville,Yuba,150,175.6,"$21,369 ","$28,750 ","$47,917 "
Canby,Modoc,693,305.6,"$11,576 ","$41,932 ","$41,932 "
Cantua Creek,Fresno,440,115.9,"$9,890 ","$31,181 ","$31,181 "
Canyondam,Plumas,78,100.5,"$18,027 ",[7],[7]
Canyon Lake,Riverside,10810,2764,"$34,925 ","$74,682 ","$79,561 "
Capitola,Santa Cruz,10043,6304.5,"$37,940 ","$56,607 ","$81,133 "
Caribou,Plumas,0,0,[7],[7],[7]
Carlsbad,San Diego,109296,2897,"$44,305 ","$87,416 ","$106,924 "
Carmel-by-the-Sea,Monterey,3807,3525,"$45,928 ","$62,460 ","$92,750 "
Carmel Valley Village,Monterey,4321,227.6,"$55,560 ","$95,444 ","$115,333 "
Carmet,Sonoma,14,48.8,[7],[7],[7]
Carmichael,Sacramento,63314,4680.2,"$32,665 ","$54,598 ","$70,783 "
Carnelian Bay,Placer,463,356.4,"$36,276 ","$72,083 ","$91,389 "
Carpinteria,Santa Barbara,13323,5152,"$33,331 ","$65,467 ","$76,311 "
Carrick,Siskiyou,66,1118.6,"$12,639 ",[7],[7]
Carson,Los Angeles,92475,4939.1,"$23,622 ","$71,420 ","$76,997 "
Cartago,Inyo,38,32.5,"$32,953 ","$46,016 ",[7]
Caruthers,Fresno,3338,1650,"$13,785 ","$44,375 ","$44,898 "
Casa Conejo,Ventura,3699,7836.9,"$28,694 ","$89,432 ","$100,125 "
Casa de Oro-Mount Helix,San Diego,21076,3076.8,"$37,682 ","$75,637 ","$96,717 "
Casmalia,Santa Barbara,114,606.4,"$20,635 ","$47,031 ","$45,938 "
Caspar,Mendocino,599,200.2,"$28,594 ","$50,000 ","$75,104 "
Cassel,Shasta,349,172.3,"$27,611 ","$34,600 ","$33,450 "
Castaic,Los Angeles,18619,2563.9,"$35,715 ","$105,523 ","$110,130 "
Castle Hill,Contra Costa,1223,1682.3,"$54,105 ","$113,952 ","$124,167 "
Castro Valley,Alameda,62363,3725.4,"$38,897 ","$83,442 ","$97,572 "
Castroville,Monterey,6226,6092,"$14,156 ","$50,000 ","$52,069 "
Cathedral City,Riverside,52550,2444.2,"$19,674 ","$43,128 ","$47,489 "
Catheys Valley,Mariposa,878,37.5,"$32,190 ","$51,528 ","$57,813 "
Cayucos,San Luis Obispo,2553,823.5,"$45,327 ","$57,863 ","$73,021 "
Cazadero,Sonoma,312,43.8,"$25,780 ","$43,875 ","$42,969 "
Cedar Ridge,Tuolumne,1132,145.3,"$33,038 ","$54,271 ","$73,750 "
Cedar Slope,Tulare,0,0,[7],[7],[7]
Cedarville,Modoc,297,54.6,"$22,492 ","$28,274 ","$29,048 "
Centerville,Fresno,348,42.8,"$39,458 ","$85,833 ","$106,250 "
Ceres,Stanislaus,46570,4992.5,"$18,575 ","$46,132 ","$48,964 "
Cerritos,Los Angeles,49599,5686.7,"$35,460 ","$91,487 ","$100,919 "
Chalfant,Mono,714,25.5,"$34,043 ","$66,361 ","$86,731 "
Challenge-Brownsville,Yuba,952,98.1,"$19,383 ","$47,959 ","$36,771 "
Channel Islands Beach,Ventura,2778,6876.2,"$53,956 ","$90,521 ","$110,461 "
Charter Oak,Los Angeles,9200,9913.8,"$24,139 ","$61,946 ","$70,187 "
Cherokee,Butte,80,45.7,"$23,230 ","$36,875 ","$85,156 "
Cherokee Strip,Kern,295,3241.8,"$9,350 ","$36,250 ","$28,026 "
Cherryland,Alameda,15244,12735.2,"$20,378 ","$50,374 ","$50,537 "
Cherry Valley,Riverside,6823,850.7,"$29,789 ","$58,080 ","$66,047 "
Chester,Plumas,1978,271.4,"$21,631 ","$40,417 ","$48,409 "
Chico,Butte,87517,2658.3,"$24,775 ","$42,334 ","$60,195 "
Chilcoot-Vinton,Plumas,130,9.8,"$14,089 ",[7],[7]
China Lake Acres,Kern,1376,264.1,"$22,054 ","$21,970 ","$37,422 "
Chinese Camp,Tuolumne,99,110.2,"$27,201 ","$24,722 ","$103,125 "
Chino,San Bernardino,80810,2724.2,"$23,116 ","$72,554 ","$78,328 "
